CRN,Course,Section,Title,Hours,Area of LLC,Type,Days,Time,Location,Instructor,Seats Still Available,STATUS,
"8464","CPSC 336","1","Network Implementation &amp; Admin","3","","Lec","TR","1330-1445","LUTR 323","Kreider, Christopher","0","Closed",
"8465","CPSC 336","2","Network Implementation &amp; Admin","3","","Lec","TR","1100-1215","LUTR 323","Kreider, Christopher","0","Closed",
"8466","CPSC 350","1","Information Systems Analysis","3","","Lec","TR","1100-1215","LUTR 258","Lapke, Michael","0","Closed",
"8467","CPSC 350","2","Information Systems Analysis","3","","Lec","TR","1500-1615","LUTR 322","Lapke, Michael","1","Open",
"8468","CPSC 360","1","Programming Language Concepts","3","","Lec","MWF","1000-1050","LUTR 258","Flores, Roberto","0","Closed",
"8469","CPSC 410","1","Operating Systems I","3","","Lec","TR","0930-1045","LUTR 236","Perkins, Keith","1","Open",
"8470","CPSC 420","1","Algorithms","3","","Lec","TR","0800-0915","LUTR 264","McElfresh, Scott","0","Closed",
"8471","CPSC 440","1","Database Management Systems","3","","Lec","MWF","1400-1450","LUTR 258","Davis, Kimberly","0","Closed",
"8472","CPSC 441","1","Big Data Technologies","3","","Lec","TR","1500-1615","LUTR 323","Kreider, Christopher","12","Open",
"8473","CPSC 445","1","WI: Information Science Capstn","3","  WI","Ind","TR","1330-1445","LUTR 322","McElfresh, Scott","6","Open",
"8474","CPSC 471","1","Applied Artificial Intelligenc","3","","Lec","MW","1800-1915","LUTR 372","Conner, David","0","Closed",
"8475","CPSC 475","1","Android Mobile Computing","3","","Lec","MW","1930-2045","LUTR 322","Perkins, Keith","5","Open",
"8476","CPSC 480","1","Software Design/Development","3","","Lec","MW","1600-1715","LUTR 347","Flores, Roberto","0","Closed",
"8477","CPSC 498","1","Capstone Project-Comp Science","3","","Lec","TR","1330-1445","LUTR 322","McElfresh, Scott","1","Open",
"8478","CPSC 501","1","Software Sys Dsgn/Implmentatn","3","","Lec","MW","1600-1715","LUTR 347","Flores, Roberto","1","Open",
"8479","CPSC 510","1","Artificial Intelligence I","3","","Lec","MW","1800-1915","LUTR 372","Conner, David","0","Closed",
"8480","CPSC 575","1","Mobile Computing","3","","Lec","MW","1930-2045","LUTR 322","Perkins, Keith","5","Open",
"9326","CPSC 599","1","IND ST: Netwrk Sec &amp; Cryptogph","3","","Ind","","","ARR ","Kreider, Christopher","0","Closed",
"8803","CRIM 208","1R","Crime in America","3","","Lec","MWF","1300-1350","LUTR 170","Briddell, Laine","0","Closed",
"8804","CRIM 208","2R","Crime in America","3","","Lec","MWF","1200-1250","LUTR 170","Briddell, Laine","0","Closed",
"9338","CRIM 275","1","Introduction to Forensic Scien","3","","Lec","MWF","1200-1250","LUTR 347","Loy, Christopher","0","Closed",
"8805","CRIM 319","1","Deviant Behavior","3","","Lec","TR","1100-1215","LUTR 142","Harris, Jaime","0","Closed",
"8806","CRIM 319","2","Deviant Behavior","3","","Lec","TR","0930-1045","LUTR 142","Harris, Jaime","0","Closed",
"8807","CRIM 338","1","Mental Hlth, Crime &amp; Crim Just","3","","Lec","TR","1330-1445","LUTR 142","Keener, Steven","0","Closed",
"8808","CRIM 338","2","Mental Hlth, Crime &amp; Crim Just","3","","Lec","TR","1500-1615","LUTR 142","Keener, Steven","0","Closed",
"8809","CRIM 354","1","Policing in the 21st Century","3","","Lec","T","1800-2045","LUTR 170","Kibler, MacKenzie","0","Closed",
"8810","CRIM 357","1","Incarceration and Punishment","3","","Lec","M","1800-2045","LUTR 170","Askew, LaQuana","0","Closed",
"8811","CRIM 365","1","Social Change and Policy","3","","Lec","MWF","0900-0950","LUTR 167","Lewis, Michael","0","Closed",
"8812","CRIM 365","2","Social Change and Policy","3","","Lec","MWF","1000-1050","LUTR 167","Lewis, Michael","0","Closed",
"8813","CRIM 390","1","WI: Criminological Theory","3","  WI","Lec","TR","0930-1045","LUTR 109","Keener, Steven","0","Closed",
"8814","CRIM 390","2","WI: Criminological Theory","3","  WI","Lec","MWF","1300-1350","TRIB 1210","Koon-magnin, Sarah","0","Closed",
"9167","CRIM 395","2","SPC TP: Victimology","3","","Lec","MWF","1000-1050","FORBES 2014","Koon-magnin, Sarah","0","Closed",
"9168","CRIM 395","3","SPC TP: Victimology","3","","Lec","MWF","1100-1150","FORBES 2014","Koon-Magnin, Sarah","0","Closed",
"8975","CRIM 491","1","Internship in Criminology","3","","Int","","","ARR ","Briddell, Laine","0","Closed",
"8795","CYBR 198","1M","First Yr Cybersecurity Seminar","1","","Lec","W","1300-1350","FORBES 2015","Kreider, Christopher","0","Closed",
"8796","CYBR 298","1","Second Yr Cybersecurity Seminr","1","","Lec","W","1300-1350","FORBES 2015","Kreider, Christopher","2","Open",
"8797","CYBR 328","1","Fndtns &amp; Princ of Cybersecurty","3","","Lec","TR","0800-0915","LUTR 323","Roy, Ayan","0","Closed",
"9253","CYBR 328","2","Fndtns &amp; Princ of Cybersecurty","3","","Lec","TR","1330-1445","LUTR 242","Lapke, Michael","3","Open",
"8798","CYBR 428","1","Network Security &amp; Cryptogrphy","3","","Lec","TR","1930-2045","LUTR 258","Phadke, Abhishek","0","Closed",
"8799","CYBR 498","1","WI: Cyber Security Capstone","3","  WI","Lec","TR","1330-1445","LUTR 322","McElfresh, Scott","4","Open",
"9002","DANC 204","1","Ballet I","3","  AICE","Lec","MW","1430-1545","FERG T177","Melega-Jones, Patrizia","0","Closed",
"9003","DANC 204","2","Ballet I","3","  AICE","Lec","MW","1100-1215","FERG T177","Lent, Jennifer","0","Closed",
"9004","DANC 205","1","Classic Jazz Technique","3","  AICE","Lec","MW","0930-1045","FERG T177","Lent, Jennifer","0","Closed",
"9005","DANC 206","1","Modern Dance I","3","  AICE","Lec","TR","1630-1745","FERG T177","Lopez, Mariah","0","Closed",
"9006","DANC 207","1","Beginning Tap","3","","Lec","TR","1500-1615","FERG T177","Lloyd, Laura","0","Closed",
"9007","DANC 240","1","Dance Composition","3","","Lec","TR","0930-1045","FERG T177","Bellecci, Ann","7","Open",
"9008","DANC 330","1","Dance Styles","3","","Lec","MW","1300-1415","FERG T177","Lloyd, Laura","0","Closed",
"9009","DANC 360","1","Afro-Caribbean","3","  AIGM","Lec","TR","1100-1215","FERG T177","Bellecci, Ann","2","Open",
"8945","DATA 201","1","Introduction to Data Science","3","","Lec","TR","1800-1915","LUTR 258","Phelps, William","0","Closed",
"8948","DTAN 200","1","Intro to Data Analytic Soc Sci","3","","Lec","MW","1800-1915","LUTR 157","Baird, Andrew","2","Open",
"8050","ECON 200","10","The Economic Way of Thinking","3","  LLFE","Lec","W","1800-2100","LUTR 269","Hines, Sunita","2","Open",
"8041","ECON 200","2","The Economic Way of Thinking","3","  LLFE","Lec","W","1800-2100","LUTR 347","Weldeegzie, Samuel","0","Closed",
"8043","ECON 200","4","The Economic Way of Thinking","3","  LLFE","Lec","R","1800-2100","FORBES 2012","Cann-Tamakloe, Ralph","1","Open",
"8044","ECON 200","5","The Economic Way of Thinking","3","  LLFE","Lec","MWF","1100-1150","MCM 210","Hamed, Hazem","1","Open",
"8045","ECON 200","6M","The Economic Way of Thinking","3","  LLFE","Lec","MWF","1300-1350","FORBES 2014","Hamed, Hazem","0","Closed",
"8046","ECON 200","7","The Economic Way of Thinking","3","  LLFE","Lec","MWF","1400-1450","FORBES 2012","Hamed, Hazem","0","Closed",
"8047","ECON 200","8","The Economic Way of Thinking","3","  LLFE","Lec","T","1800-2100","FORBES 2070C","Fiakofi, Kenneth","0","Closed",
"8048","ECON 200","9","The Economic Way of Thinking","3","  LLFE","Lec","M","1800-2100","LUTR 347","Hines, Sunita","1","Open",
"8053","ECON 201","2M","Principles of Macroeconomics","3","  LLFE","Lec","TR","1500-1615","FORBES 1022","He, Zhaochen","0","Closed",
"8054","ECON 201","3M","Principles of Macroeconomics","3","  LLFE","Lec","MWF","1400-1450","LUTR 121","King, Sarah","0","Closed",
"8055","ECON 201","4C","Principles of Macroeconomics","3","  LLFE","Lec","W","1800-2100","LUTR 170","Winder, Robert","0","Closed",
"8056","ECON 201","5","Principles of Macroeconomics","3","  LLFE","Lec","MWF","1100-1150","LUTR 137","King, Sarah","1","Open",
"8057","ECON 201","6","Principles of Macroeconomics","3","  LLFE","Lec","MWF","1300-1350","FORBES 3012","King, Sarah","0","Closed",
"8971","ECON 202","1C","Principles of Microeconomics","3","  LLFE","Lec","M","1800-2100","FORBES 3014","Weldeegzie, Samuel","0","Closed",
"8972","ECON 202","2M","Principles of Microeconomics","3","  LLFE","Lec","TR","0930-1045","LUTR 121","Taylor, Travis","0","Closed",
"9001","ECON 202","3","Principles of Microeconomics","3","  LLFE","Lec","R","1800-2100","LUTR 137","Fiakofi, Kenneth","3","Open",
"8060","ECON 300","2","Quantitative Methods in ECON","3","","Lec","MWF","1000-1050","MCM 200B","Hamed, Hazem","1","Open",
"8061","ECON 304","1","Interm Macroeconomic Analysis","3","","Lec","TR","1330-1445","FORBES 2070D","Winder, Robert","0","Closed",
"8062","ECON 304","2","Interm Macroeconomic Analysis","3","","Lec","TR","1500-1615","FORBES 2070C","Winder, Robert","6","Open",
"8063","ECON 320","1","European Integration","3","  AIWT","Lec","MWF","1500-1550","MCM 114","Zestos, George","5","Open",
"8064","ECON 351","1","Urban Economics","3","","Lec","MW","1600-1715","LUTR 137","King, Sarah","3","Open",
"8065","ECON 361","1","Labor Economics","3","","Lec","TR","1100-1215","FORBES 3012","He, Zhaochen","0","Closed",
"8066","ECON 465","1","Industrial Org &amp; Public Policy","3","","Lec","TR","1100-1215","LUTR 242","Chakraborti, Rik","5","Open",
"8067","ECON 485","1","Applied Econometrics","3","","Lec","MWF","1300-1350","MCM 110","Zestos, George","0","Closed",
"8068","ECON 485","2","Applied Econometrics","3","","Lec","MWF","1400-1450","MCM 110","Zestos, George","1","Open",
"8864","EENG 321","1","Control Systems","3","","Lec","TR","1330-1445","LUTR 206","Doost Mohammadi, Farideh","16","Open",
"8865","EENG 321L","1","Control System Laboratory","1","","Lab","W","1800-2045","LUTR 206","Doost Mohammadi, Farideh","16","Open",
"8866","EENG 361","1","Communication Systems I","3","","Lec","MWF","1400-1450","LUTR 206","Ghaffari, Azad","16","Open",
"8867","EENG 361L","1","Communication Systems Lab","1","","Lab","M","1800-2045","LUTR 206","Ghaffari, Azad","16","Open",
"8868","EENG 481","1","Digital Signal Processing","3","","Lec","TR","0930-1045","LUTR 204","Wang, Dali","15","Open",
"8869","EENG 497","1","WI:Electrical Eng Capstn Des 1","2","  WI","Lec","MWF","1300-1350","LUTR 322","Ghaffari, Azad; Riedl, Anton","5","Open",
"9188","ENGL 123","1","First-Year Writing Seminar","3","  LLFW","Lec","MWF","1500-1550","MCM 207","Brown, Nicholas","0","Closed",
"8153","ENGL 123","11C","First-Year Writing Seminar","3","  LLFW","Lec","MWF","1400-1450","MCM 314","Carney, Jason","0","Closed",
"8154","ENGL 123","12C","First-Year Writing Seminar","3","  LLFW","Lec","TR","1500-1615","MCM 307","Stewart, Nathan","1","Open",
"8155","ENGL 123","13","First-Year Writing Seminar","3","  LLFW","Lec","TR","1800-1915","MCM 307","Stewart, Nathan","0","Closed",
"8156","ENGL 123","14","First-Year Writing Seminar","3","  LLFW","Lec","TR","1800-1915","MCM 314","Tooley, Suki","0","Closed",
"8157","ENGL 123","15R","First-Year Writing Seminar","3","  LLFW","Lec","TR","1930-2045","MCM 314","Tooley, Suki","0","Closed",
"9210","ENGL 123","16","First-Year Writing Seminar","3","  LLFW","Lec","MWF","1200-1250","MCM 262","Brown, Nicholas","1","Open",
"9211","ENGL 123","17","First-Year Writing Seminar","3","  LLFW","Lec","MWF","1500-1550","MCM 262","Menjivar, Cristina","0","Closed",
"8143","ENGL 123","1C","First-Year Writing Seminar","3","  LLFW","Lec","TR","1330-1445","MCM 257","Apolloni, Jessica","0","Closed",
"9189","ENGL 123","2","First-Year Writing Seminar","3","  LLFW","Lec","MWF","1300-1350","MCM 114","Davis, Cynthia","0","Closed",
"8144","ENGL 123","2C","First-Year Writing Seminar","3","  LLFW","Lec","MWF","1000-1050","MCM 262","Bunch, Imogene","0","Closed",
"9190","ENGL 123","3","First-Year Writing Seminar","3","  LLFW","Lec","MWF","1100-1150","MCM 162","Brown, Nicholas","0","Closed",
"8145","ENGL 123","3C","First-Year Writing Seminar","3","  LLFW","Lec","MWF","1100-1150","MCM 262","Bunch, Imogene","0","Closed",
"8146","ENGL 123","4C","First-Year Writing Seminar","3","  LLFW","Lec","MWF","1100-1150","MCM 357","Menjivar, Cristina","0","Closed",
"9201","ENGL 123","5","First-Year Writing Seminar","3","  LLFW","Lec","MWF","1400-1450","MCM 366","Brown, Nicholas","0","Closed",
"8147","ENGL 123","5C","First-Year Writing Seminar","3","  LLFW","Lec","TR","1630-1745","MCM 314","Eleftheriou, Joanna","0","Closed",
"9202","ENGL 123","6","First-Year Writing Seminar","3","  LLFW","Lec","MWF","1000-1050","FORBES 3012","Menjivar, Cristina","0","Closed",
"8148","ENGL 123","6C","First-Year Writing Seminar","3","  LLFW","Lec","TR","1100-1215","MCM 207","Finneran, Elisa","0","Closed",
"8149","ENGL 123","7","First-Year Writing Seminar","3","  LLFW","Lec","TR","1330-1445","MCM 314","Finneran, Elisa","0","Closed",
"8150","ENGL 123","8R","First-Year Writing Seminar","3","  LLFW","Lec","TR","0800-0915","MCM 207","Girvan, Shawn","0","Closed",
"8151","ENGL 123","9","First-Year Writing Seminar","3","  LLFW","Lec","TR","1630-1745","MCM 257","Rice Weber, Tracy","0","Closed",
"8158","ENGL 200","1","Lit Foundation I:Ancient-17thC","3","","Lec","TR","1500-1615","MCM 260","Apolloni, Jessica","0","Closed",
"8159","ENGL 201","1","Lit Foundation II:18thC-mid 19","3","","Lec","MWF","1300-1350","MCM 257","Rose, Andrew","0","Closed",
"8161","ENGL 210","1","Introduction to Journalism","3","","Lec","MWF","1100-1150","MCM 260","Davis, Cynthia","6","Open",
"8162","ENGL 211","1","Ethics, Law, and Journalism","3","","Lec","MWF","1200-1250","MCM 364","Davis, Cynthia","7","Open",
"8163","ENGL 223","1","Second-Year Writing Seminar","3","  LLFW","Lec","MWF","1300-1350","MCM 362","Bunch, Imogene","0","Closed",
"8172","ENGL 223","10","Second-Year Writing Seminar","3","  LLFW","Lec","MWF","1000-1050","MCM 210","Hopkins, Patricia","0","Closed",
"8173","ENGL 223","11","Second-Year Writing Seminar","3","  LLFW","Lec","TR","1500-1615","MCM 210","Lebron, Georgepierre","0","Closed",
"8174","ENGL 223","12","Second-Year Writing Seminar","3","  LLFW","Lec","TR","1800-1915","MCM 316","Lebron, Georgepierre","0","Closed",
"8175","ENGL 223","13","Second-Year Writing Seminar","3","  LLFW","Lec","TR","1930-2045","MCM 316","Lebron, Georgepierre","5","Open",
"8176","ENGL 223","14","Second-Year Writing Seminar","3","  LLFW","Lec","TR","1930-2045","MCM 207","Rice Weber, Tracy","0","Closed",
"8177","ENGL 223","15","Second-Year Writing Seminar","3","  LLFW","Lec","TR","1100-1215","MCM 162","Rodden, Dan","0","Closed",
"8178","ENGL 223","16","Second-Year Writing Seminar","3","  LLFW","Lec","TR","1330-1445","MCM 316","Rodden, Dan","0","Closed",
"8179","ENGL 223","17","Second-Year Writing Seminar","3","  LLFW","Lec","MWF","1000-1050","MCM 364","Rose, Andrew","0","Closed",
"8181","ENGL 223","19","Second-Year Writing Seminar","3","  LLFW","Lec","TR","1100-1215","MCM 307","Shortsleeve, Kevin","0","Closed",
"8164","ENGL 223","2","Second-Year Writing Seminar","3","  LLFW","Lec","MWF","1400-1450","MCM 362","Bunch, Imogene","3","Open",
"8182","ENGL 223","20","Second-Year Writing Seminar","3","  LLFW","Lec","TR","1630-1745","MCM 310","Stewart, Nathan","0","Closed",
"9286","ENGL 223","21","Second-Year Writing Seminar","3","  LLFW","Lec","TR","0930-1045","MCM 212","Teekell, Anna","0","Closed",
"8165","ENGL 223","3","Second-Year Writing Seminar","3","  LLFW","Lec","MWF","0900-0950","MCM 316","Carney, Jason","0","Closed",
"8166","ENGL 223","4","Second-Year Writing Seminar","3","  LLFW","Lec","MWF","1000-1050","MCM 307","Carney, Jason","1","Open",
"8167","ENGL 223","5","Second-Year Writing Seminar","3","  LLFW","Lec","TR","0800-0915","MCM 310","Cobos, April","0","Closed",
"8168","ENGL 223","6","Second-Year Writing Seminar","3","  LLFW","Lec","MWF","1300-1350","MCM 357","Menjivar, Cristina","0","Closed",
"8169","ENGL 223","7","Second-Year Writing Seminar","3","  LLFW","Lec","MWF","1400-1450","MCM 257","Davis, Cynthia","0","Closed",
"8170","ENGL 223","8","Second-Year Writing Seminar","3","  LLFW","Lec","MWF","1300-1350","MCM 260","Garton-Gundling, Kyle","0","Closed",
"8171","ENGL 223","9","Second-Year Writing Seminar","3","  LLFW","Lec","MWF","0900-0950","MCM 210","Hopkins, Patricia","2","Open",
"8183","ENGL 256","1","Introduction to Film Studies","3","  AICE","Lec","W","1800-2045","TFAC 102","Anklam, James","2","Open",
"8184","ENGL 308","1","WI: Lit, Theory, &amp; Culture","3","  WI","Lec","MWF","1000-1050","TRIB 1210","Garton-Gundling, Kyle","5","Open",
"8185","ENGL 309","1","WI: Creative Nonfiction","3","  WI","Lec","TR","1100-1215","MCM 212","Eleftheriou, Joanna","0","Closed",
"8186","ENGL 309","2","WI: Creative Nonfiction","3","  WI","Lec","TR","1500-1615","MCM 314","Eleftheriou, Joanna","0","Closed",
"8189","ENGL 316","1","Children&#39;s Literature","3","","Lec","TR","1330-1445","MCM 310","Shortsleeve, Kevin","1","Open",
"9187","ENGL 316","2","Children&#39;s Literature","3","","Lec","TR","0930-1045","MCM 360","Shortsleeve, Kevin","5","Open",
"8190","ENGL 320","1","Studies in Women &amp; Lit","3","  AIGM","Lec","TR","1100-1215","MCM 360","Teekell, Anna","0","Closed",
"8191","ENGL 332","1","Community-based Journalism","3","","Lec","TR","1500-1615","MCM 164","Covington, Brooke","13","Open",
"8192","ENGL 336","1","Arts &amp; Entertainment Journalsm","3","","Lec","MWF","1100-1150","MCM 364","Carney, Jason","14","Open",
"8199","ENGL 339","1","WI:Tutoring in the Writing Ctr","3","  WI","Lec","TR","1330-1445","MCM 210","Wright, Mary","1","Open",
"8193","ENGL 345","1","African-American Lit &amp; Culture","3","","Lec","MWF","1300-1350","MCM 210","Hopkins, Patricia","11","Open",
"8195","ENGL 351","1","WI: Fiction Writing","3","  WI","Lec","TR","1630-1745","MCM 364","Rodden, Dan","0","Closed",
"8196","ENGL 353","1","WI: Writing for the Profession","3","  WI","Lec","TR","0930-1045","MCM 314","Cobos, April","0","Closed",
"8197","ENGL 353","2","WI: Writing for the Profession","3","  WI","Lec","TR","1100-1215","MCM 314","Cobos, April","0","Closed",
"8198","ENGL 353","3","WI: Writing for the Profession","3","  WI","Lec","MWF","1100-1150","MCM 257","Filetti, Jean","0","Closed",
"8200","ENGL 374","1","Nineteenth-Century British Lit","3","","Lec","TR","1330-1445","MCM 360","Teekell, Anna","5","Open",
"8201","ENGL 380","1","Film and Literature","3","","Lec","TR","1100-1215","TRIB 208","Nichols, John","1","Open",
"8203","ENGL 393","1","Environmental Imaginings","3","","Lec","MWF","1100-1150","MCM 362","Rose, Andrew","8","Open",
"8202","ENGL 421","1","Shakespeare","3","","Lec","TR","0930-1045","MCM 160","Apolloni, Jessica","0","Closed",
"8204","ENGL 454","1","WI: Writng for Civic Engagemnt","3","  WI","Lec","TR","1330-1445","MCM 364","Cobos, April","0","Closed",
"8205","ENGL 490","1","WI: Senior Seminar","3","  WI","Lec","MWF","1400-1450","MCM 260","Garton-Gundling, Kyle","7","Open",
"9375","ENGL 491","1","INT: Election Coverage w/ WHRO","3","","Int","","","ARR ","Davis, Cynthia","0","Closed",
"9385","ENGL 491","2","Internship in Writing","3","","Int","M","","ARR ","Wright, Mary","0","Closed",
"9381","ENGL 499","1","IND ST: Journal Article","3","","Ind","","","ARR ","Wright, Mary","0","Closed",
"8206","ENGL 521","1","Developing Elem Writers/Reader","3","","Lec","R","1700-1945","MCM 200B","Mann, Dennise","1","Open",
"8208","ENGL 522","1","Content Area Literacy","3","","Lec","T","1630-1915","MCM 200C","Smith, Danielle","3","Open",
"8209","ENGL 526","1","Teaching Writing in Secondary","3","","Lec","R","1630-1915","MCM 312","Palencia, Virginia","14","Open",
"8898","ENGR 121","1M","Engineering Design","3","","Lec","TR","1100-1215","LUTR 301","Gerousis, Costa","9","Open",
"8899","ENGR 210","1","Math Mthds-Engineers/Scientist","3","","Lec","TR","1330-1445","LUTR 347","Gerousis, Costa","0","Closed",
"8900","ENGR 211","1","Intro Electric Circuits/Electr","3","","Lec","TR","1100-1215","LUTR 322","Wang, Dali","0","Closed",
"8901","ENGR 211L","1","Intro Electric Circ/Electr Lab","1","","Lab","R","1800-2045","LUTR 206","Gerousis, Costa","0","Closed",
"8902","ENGR 211L","2","Intro Electric Circ/Electr Lab","1","","Lab","W","1500-1745","LUTR 206","Keshtkar Vanashi, Hessam","2","Open",
"8903","ENGR 213","1","Discrete Structures-Comp Appl","3","","Lec","MWF","1400-1450","LUTR 347","Roy, Ayan","3","Open",
"8904","ENGR 213","2","Discrete Structures-Comp Appl","3","","Lec","MWF","1300-1350","LUTR 347","Roy, Ayan","1","Open",
"8842","ENVS 532","1","Wetlands Ecology","4","","Lec","TR","1730-1845","FORBES 2051","Whiting, Gary","6","Open",
"8843","ENVS 532L","1","Wetlands Ecology Lab","0","","Lab","S","0800-1150","FORBES 2051","Whiting, Gary","6","Open",
"8844","ENVS 545","1","Mammalogy","4","","Lec","MWF","1100-1150","FORBES 2043","Sherwin, Richard","0","Closed",
"8845","ENVS 545L","1","Mammalogy Lab","0","","Lab","M","1300-1650","FORBES 2043","Sherwin, Richard","0","Closed",
"8846","ENVS 575","1","Sem-Scientific Communication","3","","Lec","TR","1100-1215","FORBES 2043","Lattanzio, Matthew","7","Open",
"9156","ENVS 595","1","SPC TP: Arduino in ENVS","3","","Lec","W","1730-2020","FORBES 2088","Lattanzio, Matthew","6","Open",
"9339","ENVS 599","1","IND ST: Entomolgy Lab Manager","2","","Ind","","","ARR ","Meyer, Michael","0","Closed",
"9382","ENVS 599","2","IND ST: Thermogenic Plants","1","","Ind","","","ARR ","Steven, Janet","0","Closed",
"9384","ENVS 599","3","IND ST: Wetland Delineation","2","","Ind","","","ARR ","Atkinson, Robert","0","Closed",
"9000","ENVS 699","1","Thesis Research","1 - 6","","Ind","W","1630-1720","FORBES 2088","Lattanzio, Matthew","4","Open",
"9306","EUPH 131","1","Applied Music: Euphonium","1","","Lab","","","ARR ","Cipriano, James","0","Closed",
"9340","EUPH 133","1","Applied Music: Euphonium","2","","Lab","","","ARR ","Cipriano, James","0","Closed",
"8979","EVST 220","1","Intro to Environmental Studies","3","","Lec","TR","1500-1615","MCM 101","Redick, Kip","0","Closed",
"8892","FINC 300","1","Managerial Finance","3","","Lec","MW","1800-1915","LUTR 242","Triola, Matthew","0","Closed",
"8891","FINC 324","1","Principles of Investment","3","","Lec","TR","1630-1745","LUTR 376","Ji, Xiuqing","11","Open",
"8889","FINC 422","1","Intermediate Corporate Finance","3","","Lec","TR","0930-1045","LUTR 105","Hall, Thomas","3","Open",
"8890","FINC 422","2","Intermediate Corporate Finance","3","","Lec","TR","1330-1445","LUTR 105","Hall, Thomas","2","Open",
"8887","FINC 425","1","Risk Management","3","","Lec","MW","1400-1515","LUTR 123","Chen, Xian","0","Closed",
"8888","FINC 425","2","Risk Management","3","","Lec","MW","1930-2045","LUTR 123","Chen, Xian","13","Open",
"8893","FINC 500","1","Adv Finc Statement Analysis","3","","Lec","MW","1600-1715","LUTR 242","Donaldson, William","12","Open",
"8894","FINC 532","1","Behavioral Finc &amp; Prof Relatns","3","","Lec","TR","1930-2045","LUTR 142","Ji, Xiuqing","15","Open",
"8895","FINC 562","1","Entrepreneurial Finance","3","","Lec","TR","1800-1915","LUTR 264","Donaldson, William","14","Open",
"8896","FINC 570","1","Data Management &amp; Analytics","3","","Lec","MW","1800-1915","LUTR 123","Chen, Xian","8","Open",
"8897","FINC 572","1","Cybr Security for Finc &amp; Acct","3","","Lec","MW","1930-2045","LUTR 242","Marlowe, Kevin","14","Open",
"9303","FLUT 133","1","Applied Music: Flute","2","","Lab","","","ARR ","Winters, Kathleen","0","Closed",
"9221","FLUT 231","1","Applied Music: Flute","1","","Lab","","","ARR ","Winters, Kathleen","0","Closed",
"9327","FLUT 233","1","Applied Music:  Flute","2","","Lab","","","ARR ","Winters, Kathleen","0","Closed",
"9222","FLUT 333","1","Applied Music: Flute","2","","Lab","","","ARR ","Winters, Kathleen","0","Closed",
"9223","FLUT 431","1","Applied Music: Flute","1","","Lab","","","ARR ","Winters, Kathleen","0","Closed",
"8009","FNAR 117","1","3D Design","3","","Stu","MW","0800-1020","TFAC 119","Lytle, Ryan","1","Open",
"8010","FNAR 117","2","3D Design","3","","Stu","TR","1400-1620","TFAC 119","Henry, Gregory","5","Open",
"8011","FNAR 118","1","2D Design","3","","Stu","TR","1030-1250","TFAC 325","Harris, Christi","2","Open",
"8012","FNAR 118","2","2D Design","3","","Stu","TR","1800-2020","TFAC 325","Davis, James","0","Closed",
"8013","FNAR 121","1","Drawing I","3","  AICE","Stu","TR","1400-1620","TFAC 318","Harris, Christi","0","Closed",
"8014","FNAR 128","1","Introduction to Digital Media","3","  AICE","Stu","MW","1030-1250","TFAC 228","Skees, Alan","0","Closed",
"8015","FNAR 201","1M","World Art in Context I","3","  AICE","Lec","MWF","1300-1350","TFAC 205","Wampler, Michelle","0","Closed",
"8016","FNAR 201","2M","World Art in Context I","3","  AICE","Lec","TR","1330-1445","TFAC 102","O&#39;Connor-Salomon, Kelly","0","Closed",
"8017","FNAR 201","3M","World Art in Context I","3","  AICE","Lec","TR","1100-1215","TFAC 205","O&#39;Connor-Salomon, Kelly","0","Closed",
"8018","FNAR 202","1M","World Arts in Context II","3","  AICE","Lec","MWF","1000-1050","TFAC 205","Richardson, Margaret","0","Closed",
"8019","FNAR 202","2M","World Arts in Context II","3","  AICE","Lec","MWF","1100-1150","TFAC 102","Richardson, Margaret","1","Open",
"8020","FNAR 202","3","World Arts in Context II","3","  AICE","Lec","MWF","1400-1450","TFAC 205","Wampler, Michelle","0","Closed",
"8021","FNAR 202","4M","World Arts in Context II","3","  AICE","Lec","MWF","1500-1550","TFAC 205","Wampler, Michelle","0","Closed",
"8022","FNAR 205","1","Digital Photography","3","  AICE","Stu","TR","1400-1620","TFAC 219","Skees, Kristin","0","Closed",
"8023","FNAR 227","1","Darkroom Photography","3","","Stu","TR","1030-1250","TFAC 217","Bavaria, Christopher","3","Open",
"8024","FNAR 227","2","Darkroom Photography","3","","Stu","TR","1400-1620","TFAC 217","Bavaria, Christopher","3","Open",
"8025","FNAR 241","1","Ceramics I","3","  AICE","Stu","TR","1800-2020","TFAC 121","Henry, Gregory","0","Closed",
"8026","FNAR 251","1","Sculpture I","3","","Stu","MW","1400-1620","TFAC 119","Henry, Gregory","5","Open",
"8027","FNAR 322","1","Figure Drawing","3","","Stu","TR","0800-1020","TFAC 318","Harris, Christi","1","Open",
"8028","FNAR 333","1","Video Art","3","  AICE","Stu","MW","1030-1250","TFAC 219","Skees, Kristin","4","Open",
"8029","FNAR 334","1","Graphic Design Concepts","3","","Stu","MW","0800-1020","TFAC 228","Skees, Alan","2","Open",
"8030","FNAR 336","1","Typography","3","","Stu","MW","1400-1620","TFAC 228","Skees, Alan","0","Closed",
"8031","FNAR 351","1","Advanced Sculpture","3","","Stu","MW","1400-1620","TFAC 119","Henry, Gregory","4","Open",
"8032","FNAR 372","1","Arts in the United States","3","  AICE","Lec","MW","1600-1715","TFAC 205","Koons, Hollis","6","Open",
