CRN,Course,Section,Title,Hours,Area of LLC,Type,Days,Time,Location,Instructor,Seats Still Available,STATUS,
"8281","CHEM 103L","1R","Introductory Chemistry Lab I","1","  AINW","Lab","M","0800-1050","FORBES 3009","Okumu, Antony","8","Open",
"8282","CHEM 103L","2","Introductory Chemistry Lab I","1","  AINW","Lab","W","0800-1050","FORBES 3009","Okumu, Antony","2","Open",
"8283","CHEM 103L","3R","Introductory Chemistry Lab I","1","  AINW","Lab","F","0800-1050","FORBES 3009","Okumu, Antony","5","Open",
"8284","CHEM 110","1","Chemistry &amp; Society","3","  AINW","Lec","MWF","1300-1350","FORBES 2070D","Patterson, Joshua","33","Open",
"8286","CHEM 121","1M","General Chemistry I","3","  AINW","Lec","MWF","1000-1050","FORBES 2070E","Thorsen, Amanda","3","Open",
"8287","CHEM 121","2M","General Chemistry I","3","  AINW","Lec","MWF","1300-1350","FORBES 1022","Higgs, Andrew","18","Open",
"8288","CHEM 121","3M","General Chemistry I","3","  AINW","Lec","MWF","0900-0950","FORBES 1022","Cole, Kathryn","2","Open",
"8289","CHEM 121","4M","General Chemistry I","3","  AINW","Lec","MWF","1100-1150","FORBES 2070E","Thorsen, Amanda","2","Open",
"8290","CHEM 121","5R","General Chemistry I","3","  AINW","Lec","MWF","1000-1050","MCM 114","Higgs, Andrew","2","Open",
"8291","CHEM 121","6M","General Chemistry I","3","  AINW","Lec","TR","0930-1045","MCM 114","Cropley, Jessica","2","Open",
"8301","CHEM 121L","10","General Chemistry Lab I","1","  AINW","Lab","M","1300-1650","FORBES 3009","Shima, Sumie; Freeman, Matthew","0","Closed",
"8302","CHEM 121L","11","General Chemistry Lab I","1","  AINW","Lab","R","1800-2150","FORBES 3009","Hahn, Insu","0","Closed",
"8303","CHEM 121L","12","General Chemistry Lab I","1","  AINW","Lab","W","1800-2150","FORBES 3002","Cropley, Jessica","2","Open",
"8304","CHEM 121L","13M","General Chemistry Lab I","1","  AINW","Lab","W","1800-2150","FORBES 3009","Forte, Steven","0","Closed",
"8292","CHEM 121L","1F","General Chemistry Lab I","1","  AINW","Lab","M","1300-1650","FORBES 3002","Shima, Sumie; Sieck, Micah","0","Closed",
"8293","CHEM 121L","2F","General Chemistry Lab I","1","  AINW","Lab","T","1330-1720","FORBES 3002","Shima, Sumie; Sieck, Micah","0","Closed",
"8294","CHEM 121L","3","General Chemistry Lab I","1","  AINW","Lab","T","1330-1720","FORBES 3009","Shima, Sumie; Freeman, Matthew","0","Closed",
"8295","CHEM 121L","4","General Chemistry Lab I","1","  AINW","Lab","W","1300-1650","FORBES 3002","Abdel-Fattah, Tarek","0","Closed",
"8296","CHEM 121L","5F","General Chemistry Lab I","1","  AINW","Lab","R","1330-1720","FORBES 3002","Shima, Sumie; Sieck, Micah","1","Open",
"8297","CHEM 121L","6","General Chemistry Lab I","1","  AINW","Lab","R","1330-1720","FORBES 3009","Shima, Sumie; Freeman, Matthew","0","Closed",
"8298","CHEM 121L","7","General Chemistry Lab I","1","  AINW","Lab","M","1800-2150","FORBES 3002","Cropley, Jessica","0","Closed",
"8299","CHEM 121L","8F","General Chemistry Lab I","1","  AINW","Lab","M","1800-2150","FORBES 3009","Hahn, Insu","1","Open",
"8300","CHEM 121L","9","General Chemistry Lab I","1","  AINW","Lab","T","1800-2150","FORBES 3002","Hahn, Insu","0","Closed",
"8308","CHEM 221","1","Organic Chemistry I","3","","Lec","MWF","0800-0850","FORBES 1022","Carney, Jeffrey","0","Closed",
"8309","CHEM 221","2","Organic Chemistry I","3","","Lec","MWF","1200-1250","FORBES 1022","Liskin, Dmitry","0","Closed",
"8310","CHEM 221L","1","Organic Chemistry Lab I","1","","Lab","T","0830-1220","FORBES 3052","Carney, Tiffany","0","Closed",
"8311","CHEM 221L","2","Organic Chemistry Lab I","1","","Lab","T","1800-2150","FORBES 3052","Cropley, Jessica","0","Closed",
"8312","CHEM 221L","3","Organic Chemistry Lab I","1","","Lab","R","1800-2150","FORBES 3052","Carney, Tiffany","0","Closed",
"8313","CHEM 221L","4","Organic Chemistry Lab I","1","","Lab","M","1300-1650","FORBES 3052","Liskin, Dmitry","1","Open",
"8314","CHEM 221L","5","Organic Chemistry Lab I","1","","Lab","W","1300-1650","FORBES 3052","Liskin, Dmitry","2","Open",
"8315","CHEM 221L","6","Organic Chemistry Lab I","1","","Lab","T","1330-1720","FORBES 3052","Higgs, Andrew","0","Closed",
"8316","CHEM 221L","7","Organic Chemistry Lab I","1","","Lab","R","1330-1720","FORBES 3052","Higgs, Andrew","0","Closed",
"8317","CHEM 221L","8","Organic Chemistry Lab I","1","","Lab","W","1800-2150","FORBES 3052","Liskin, Dmitry","2","Open",
"9333","CHEM 221L","9","Organic Chemistry Lab I","1","","Lab","M","1800-2150","FORBES 3052","Bedford, John","18","Open",
"9181","CHEM 242","1","General Chemistry II","3","  AINW","Lec","MWF","1100-1150","FORBES 2015","Shima, Sumie","32","Open",
"9182","CHEM 242L","1","General Chemistry II Lab","1","  AINW","Lab","W","1300-1650","FORBES 3009","Shima, Sumie","7","Open",
"8318","CHEM 341","1","Physical Chemistry I","3","","Lec","MWF","1100-1150","FORBES 2070C","Patterson, Joshua","13","Open",
"8319","CHEM 391","1","WI: Investigating Chemical Lit","3","  WI","Lec","MWF","1200-1250","FORBES 2070C","Carney, Jeffrey","5","Open",
"8320","CHEM 401","1","Inorganic Chemistry","3","","Lec","TR","1100-1215","FORBES 3048","Abdel-Fattah, Tarek","17","Open",
"8321","CHEM 401L","1","Inorganic Chemistry Lab","1","","Lab","T","1330-1720","FORBES 3048","Abdel-Fattah, Tarek","18","Open",
"8323","CHEM 445","1","Instrumental Analysis","3","","Lec","MWF","0900-0950","FORBES 3040","Quinlan, Ronald","10","Open",
"8324","CHEM 445L","1","Instrumental Analysis Lab","1","","Lab","W","1300-1650","FORBES 3040","Quinlan, Ronald","10","Open",
"8322","CHEM 465","1","Environmental Chemistry","3","","Lec","MWF","1000-1050","FORBES 2070D","Patterson, Joshua","26","Open",
"9347","CHEM 499","1","IND ST: Hop Oil Analysis","2","","Ind","","","ARR ","Quinlan, Ronald","0","Closed",
"9348","CHEM 499","2","IND ST: Chai Tea Biochar","3","","Ind","","","ARR ","Abdel-Fattah, Tarek","0","Closed",
"9380","CHEM 499","3","IND ST: Interfacial Hydro-Bond","3","","Ind","","","ARR ","Patterson, Joshua","0","Closed",
"8326","CHEM 565","1","Environmental Chemistry","3","","Lec","MWF","1000-1050","FORBES 2070D","Patterson, Joshua","1","Open",
"8954","CHIN 101","1R","Beginning Chinese I","3","","Lec","MWF","1000-1050","FORBES 2088","Smith, Jonathan","1","Open",
"8955","CHIN 101","2R","Beginning Chinese I","3","","Lec","MWF","1100-1150","FORBES 2088","Smith, Jonathan","1","Open",
"8956","CHIN 201","1R","Intermediate Chinese I","3","  LLFL","Lec","MWF","1300-1350","MCM 366","Smith, Jonathan","2","Open",
"9279","CHIN 314","1","Business Chinese","3","  LLFL","Lec","MWF","0800-0850","MCM 200D","Smith, Jonathan","0","Closed",
"8947","CHLF 201","1","Introduction to Child Life","3","","Lec","T","1800-2045","LUTR 347","McWilliams, Shannon","1","Open",
"9301","CLAR 131","1","Applied Music: Clarinet","1","","Lab","","","ARR ","Byerly, Michael","0","Closed",
"9302","CLAR 133","1","Applied Music: Clarinet","2","","Lab","","","ARR ","Byerly, Michael","0","Closed",
"9204","CLAR 231","1","Applied Music: Clarinet","1","","Lab","","","ARR ","Byerly, Michael","0","Closed",
"9205","CLAR 333","1","Applied Music: Clarinet","2","","Lab","","","ARR ","Byerly, Michael","0","Closed",
"8957","CLST 201","1R","The Mythic Imagination","3","  AIWT","Lec","MWF","1400-1450","MCM 216","Padilla, Mark","2","Open",
"8958","CLST 212","1M","Roman Culture","3","  AIWT","Lec","MWF","1100-1150","MCM 101","Pollio, David","0","Closed",
"8959","CLST 307","1R","The Ancient World in Film","3","  AICE","Lec","MWF","1000-1050","MCM 164","Padilla, Mark","0","Closed",
